player,date,opponent,innings_pitched,actual_strikeouts,predicted_strikeouts,opponent_k_rate,recent_k9
Logan Gilbert,Mar 30,BOS,7.0,8,7.53,0.254,10.29
Logan Gilbert,Apr 5,MIL,5.666666666666667,7,6.9,0.237,10.66
Logan Gilbert,Apr 10,TOR,7.666666666666667,8,7.65,0.204,10.18
Logan Gilbert,Apr 16,CIN,6.666666666666667,6,6.59,0.244,9.67
Logan Gilbert,Apr 23,TEX,6.666666666666667,6,6.64,0.212,9.36
Logan Gilbert,Apr 28,ARI,6.333333333333333,9,8.3,0.201,9.82
Logan Gilbert,May 4,HOU,8.0,6,6.73,0.193,8.92
Logan Gilbert,May 9,MIN,4.0,4,4.71,0.213,8.81
Logan Gilbert,May 14,KCR,6.666666666666667,7,7.16,0.194,9.09
Logan Gilbert,May 20,NYY,6.0,1,4.16,0.212,7.84
Logan Gilbert,May 25,WSN,6.0,4,4.3,0.204,6.46
Logan Gilbert,May 30,HOU,6.0,5,4.96,0.193,6.59
Logan Gilbert,Jun 5,OAK,7.0,5,5.43,0.249,6.25
Logan Gilbert,Jun 10,CHW,6.666666666666667,8,6.94,0.239,6.54
Logan Gilbert,Jun 16,TEX,8.0,9,8.36,0.212,8.29
Logan Gilbert,Jun 22,MIA,8.0,6,7.41,0.233,8.33
Logan Gilbert,Jun 28,MIN,6.0,3,3.76,0.213,7.82
Logan Gilbert,Jul 3,BAL,5.333333333333333,6,6.4,0.22,8.47
Logan Gilbert,Jul 9,SDP,7.666666666666667,7,6.63,0.177,7.97
Logan Gilbert,Jul 14,LAA,7.0,9,7.03,0.237,8.21
Logan Gilbert,Jul 23,LAA,6.666666666666667,8,7.3,0.237,9.09
Logan Gilbert,Jul 29,BOS,2.6666666666666665,4,5.14,0.254,10.43
Logan Gilbert,Aug 4,PHI,6.0,7,6.78,0.222,10.5
Logan Gilbert,Aug 10,NYM,7.0,6,6.75,0.224,10.43
Logan Gilbert,Aug 16,PIT,6.333333333333333,6,6.13,0.248,9.73
Logan Gilbert,Aug 21,LAD,4.666666666666667,7,6.5,0.214,10.12
Logan Gilbert,Aug 27,TBR,6.0,10,7.05,0.247,10.8
Logan Gilbert,Sep 2,OAK,6.0,9,8.17,0.249,11.4
Logan Gilbert,Sep 7,STL,8.0,10,9.2,0.216,12.19
Logan Gilbert,Sep 14,TEX,6.0,7,7.7,0.212,12.62
Logan Gilbert,Sep 19,NYY,5.333333333333333,9,8.58,0.212,12.93
Logan Gilbert,Sep 24,HOU,6.0,6,8.19,0.193,11.78
Logan Gilbert,Sep 29,OAK,5.666666666666667,7,7.66,0.249,11.32
Seth Lugo,Mar 30,MIN,6.0,4,4.32,0.213,6.0
Seth Lugo,Apr 4,CHW,6.666666666666667,3,3.69,0.239,4.97
Seth Lugo,Apr 10,HOU,6.0,2,3.31,0.193,4.34
Seth Lugo,Apr 15,CHW,7.0,4,4.43,0.239,4.56
Seth Lugo,Apr 21,BAL,5.333333333333333,1,1.73,0.22,4.06
Seth Lugo,Apr 26,DET,7.0,9,7.19,0.243,5.34
Seth Lugo,May 1,TOR,7.0,8,7.07,0.204,6.68
Seth Lugo,May 7,MIL,6.666666666666667,5,5.48,0.237,7.36
Seth Lugo,May 12,LAA,8.0,12,6.78,0.237,9.26
Seth Lugo,May 18,OAK,5.666666666666667,10,4.82,0.249,11.53
Seth Lugo,May 24,TBR,7.0,3,4.56,0.247,9.96
Seth Lugo,May 29,MIN,6.0,5,5.16,0.213,9.45
Seth Lugo,Jun 4,CLE,6.0,5,5.39,0.202,9.64
Seth Lugo,Jun 10,NYY,7.0,4,5.44,0.212,7.67
Seth Lugo,Jun 15,LAD,6.0,4,4.45,0.214,5.91
Seth Lugo,Jun 20,OAK,6.666666666666667,8,4.8,0.249,7.39
Seth Lugo,Jun 25,MIA,6.0,8,7.1,0.233,8.24
Seth Lugo,Jun 30,CLE,6.0,10,5.15,0.202,9.66
Seth Lugo,Jul 6,COL,6.0,5,4.95,0.268,10.27
Seth Lugo,Jul 13,BOS,5.0,6,4.23,0.254,11.22
Seth Lugo,Jul 21,CHW,9.0,6,5.22,0.239,9.84
Seth Lugo,Jul 27,CHC,6.333333333333333,2,3.23,0.223,8.07
Seth Lugo,Aug 1,DET,8.0,3,4.74,0.243,5.77
Seth Lugo,Aug 6,BOS,5.333333333333333,4,3.67,0.254,5.61
Seth Lugo,Aug 13,MIN,4.0,4,4.39,0.213,5.23
Seth Lugo,Aug 19,LAA,7.0,8,7.2,0.237,6.16
Seth Lugo,Aug 25,PHI,5.333333333333333,3,4.77,0.222,6.67
Seth Lugo,Aug 30,HOU,7.0,9,7.81,0.193,8.79
Seth Lugo,Sep 4,CLE,7.0,4,5.09,0.202,8.31
Seth Lugo,Sep 10,NYY,7.0,10,8.02,0.212,9.18
Seth Lugo,Sep 16,DET,4.666666666666667,4,4.66,0.243,8.71
Seth Lugo,Sep 22,SFG,7.0,5,6.13,0.24,8.82
Seth Lugo,Sep 28,ATL,2.0,3,3.94,0.241,8.46
Logan Webb,Mar 28,SDP,6.0,5,4.61,0.177,7.5
Logan Webb,Apr 2,LAD,3.6666666666666665,5,5.3,0.214,9.31
Logan Webb,Apr 7,SDP,7.0,3,3.81,0.177,7.02
Logan Webb,Apr 13,TBR,7.0,4,4.66,0.247,6.46
Logan Webb,Apr 18,ARI,7.0,5,4.65,0.201,6.46
Logan Webb,Apr 23,NYM,8.0,4,4.44,0.224,5.79
Logan Webb,Apr 30,BOS,3.6666666666666665,4,4.41,0.254,5.51
Logan Webb,May 5,PHI,4.0,6,5.41,0.222,6.98
Logan Webb,May 10,CIN,7.0,6,6.79,0.244,7.58
Logan Webb,May 15,LAD,6.0,5,4.47,0.214,7.85
Logan Webb,May 21,PIT,6.0,6,6.27,0.248,9.11
Logan Webb,May 26,NYM,7.0,8,7.43,0.224,9.3
Logan Webb,Jun 1,NYY,7.0,6,6.13,0.212,8.45
Logan Webb,Jun 7,TEX,7.0,6,6.26,0.212,8.45
Logan Webb,Jun 12,HOU,6.0,5,5.06,0.193,8.45
Logan Webb,Jun 18,CHC,7.0,5,5.69,0.223,7.94
Logan Webb,Jun 23,STL,6.0,8,7.27,0.216,8.18
Logan Webb,Jun 28,LAD,7.0,6,5.88,0.214,8.18
Logan Webb,Jul 4,ATL,7.0,6,6.28,0.241,8.18
Logan Webb,Jul 10,TOR,5.0,4,6.1,0.204,8.16
Logan Webb,Jul 20,COL,6.0,4,4.75,0.268,8.13
Logan Webb,Jul 25,LAD,5.0,4,4.26,0.214,7.2
Logan Webb,Jul 31,OAK,9.0,6,5.65,0.249,6.75
Logan Webb,Aug 5,WSN,5.666666666666667,4,4.07,0.204,6.46
Logan Webb,Aug 10,DET,7.0,8,6.96,0.243,7.16
Logan Webb,Aug 15,ATL,7.666666666666667,7,6.66,0.241,7.6
Logan Webb,Aug 21,CHW,8.0,6,6.27,0.239,7.47
Logan Webb,Aug 27,MIL,5.0,4,4.32,0.237,7.83
Logan Webb,Sep 1,MIA,6.0,4,4.42,0.233,7.75
Logan Webb,Sep 7,SDP,6.0,3,3.35,0.177,6.61
Logan Webb,Sep 13,SDP,4.0,4,4.07,0.177,6.52
Logan Webb,Sep 19,BAL,5.0,8,4.76,0.22,7.96
Logan Webb,Sep 24,ARI,6.0,3,3.98,0.201,7.33
Zack Wheeler,Mar 29,ATL,6.0,5,5.14,0.241,7.5
Zack Wheeler,Apr 3,CIN,6.0,10,9.34,0.244,11.25
Zack Wheeler,Apr 9,STL,7.0,5,5.73,0.216,9.47
Zack Wheeler,Apr 14,PIT,5.0,10,9.75,0.248,11.25
Zack Wheeler,Apr 20,CHW,7.333333333333333,8,8.03,0.239,10.91
Zack Wheeler,Apr 25,CIN,6.0,8,8.51,0.244,11.78
Zack Wheeler,May 1,LAA,5.0,6,6.45,0.237,10.98
Zack Wheeler,May 6,SFG,7.0,11,10.4,0.24,12.76
Zack Wheeler,May 12,MIA,4.0,2,6.68,0.233,10.74
Zack Wheeler,May 17,WSN,7.333333333333333,6,6.82,0.204,10.12
Zack Wheeler,May 23,TEX,7.0,5,5.24,0.212,8.9
Zack Wheeler,May 28,SFG,6.0,9,8.17,0.24,9.48
Zack Wheeler,Jun 3,MIL,7.0,6,5.46,0.237,8.04
Zack Wheeler,Jun 11,BOS,7.0,4,4.67,0.254,7.86
Zack Wheeler,Jun 16,BAL,4.333333333333333,4,4.48,0.22,8.04
Zack Wheeler,Jun 22,ARI,7.0,8,5.14,0.201,8.9
Zack Wheeler,Jun 27,MIA,6.666666666666667,5,5.07,0.233,7.59
Zack Wheeler,Jul 3,CHC,6.0,7,4.63,0.223,8.13
Zack Wheeler,Jul 9,LAD,5.0,7,6.74,0.214,9.62
Zack Wheeler,Jul 23,MIN,7.0,7,6.95,0.213,9.66
Zack Wheeler,Jul 29,NYY,5.0,6,6.27,0.212,9.71
